k,re_fixed,im_fixed
   0, 16384,     0
   0, 16384,     0
   1, 16384,   -13
   2, 16384,   -25
   3, 16384,   -38
   4, 16384,   -50
   5, 16384,   -63
   6, 16384,   -75
   7, 16384,   -88
   8, 16384,  -101
   9, 16384,  -113
  10, 16384,  -126
  11, 16383,  -138
  12, 16383,  -151
  13, 16383,  -163
  14, 16383,  -176
  15, 16383,  -188
  16, 16383,  -201
  17, 16383,  -214
  18, 16382,  -226
  19, 16382,  -239
  20, 16382,  -251
  21, 16382,  -264
  22, 16382,  -276
  23, 16381,  -289
  24, 16381,  -302
  25, 16381,  -314
  26, 16381,  -327
  27, 16380,  -339
  28, 16380,  -352
  29, 16380,  -364
  30, 16380,  -377
  31, 16379,  -390
  32, 16379,  -402
  33, 16379,  -415
  34, 16378,  -427
  35, 16378,  -440
  36, 16378,  -452
  37, 16377,  -465
  38, 16377,  -477
  39, 16377,  -490
  40, 16376,  -503
  41, 16376,  -515
  42, 16375,  -528
  43, 16375,  -540
  44, 16375,  -553
  45, 16374,  -565
  46, 16374,  -578
  47, 16373,  -590
  48, 16373,  -603
  49, 16372,  -616
  50, 16372,  -628
  51, 16371,  -641
  52, 16371,  -653
  53, 16370,  -666
  54, 16370,  -678
  55, 16369,  -691
  56, 16369,  -704
  57, 16368,  -716
  58, 16368,  -729
  59, 16367,  -741
  60, 16367,  -754
  61, 16366,  -766
  62, 16365,  -779
  63, 16365,  -791
  64, 16364,  -804
  65, 16364,  -816
  66, 16363,  -829
  67, 16362,  -842
  68, 16362,  -854
  69, 16361,  -867
  70, 16360,  -879
  71, 16360,  -892
  72, 16359,  -904
  73, 16358,  -917
  74, 16358,  -929
  75, 16357,  -942
  76, 16356,  -955
  77, 16355,  -967
  78, 16355,  -980
  79, 16354,  -992
  80, 16353, -1005
  81, 16352, -1017
  82, 16352, -1030
  83, 16351, -1042
  84, 16350, -1055
  85, 16349, -1067
  86, 16348, -1080
  87, 16348, -1092
  88, 16347, -1105
  89, 16346, -1118
  90, 16345, -1130
  91, 16344, -1143
  92, 16343, -1155
  93, 16342, -1168
  94, 16341, -1180
  95, 16341, -1193
  96, 16340, -1205
  97, 16339, -1218
  98, 16338, -1230
  99, 16337, -1243
 100, 16336, -1255
 101, 16335, -1268
 102, 16334, -1280
 103, 16333, -1293
 104, 16332, -1306
 105, 16331, -1318
 106, 16330, -1331
 107, 16329, -1343
 108, 16328, -1356
 109, 16327, -1368
 110, 16326, -1381
 111, 16325, -1393
 112, 16324, -1406
 113, 16323, -1418
 114, 16321, -1431
 115, 16320, -1443
 116, 16319, -1456
 117, 16318, -1468
 118, 16317, -1481
 119, 16316, -1493
 120, 16315, -1506
 121, 16313, -1518
 122, 16312, -1531
 123, 16311, -1543
 124, 16310, -1556
 125, 16309, -1568
 126, 16308, -1581
 127, 16306, -1593
 128, 16305, -1606
 129, 16304, -1618
 130, 16303, -1631
 131, 16301, -1643
 132, 16300, -1656
 133, 16299, -1668
 134, 16298, -1681
 135, 16296, -1693
 136, 16295, -1706
 137, 16294, -1718
 138, 16292, -1731
 139, 16291, -1743
 140, 16290, -1756
 141, 16288, -1768
 142, 16287, -1781
 143, 16286, -1793
 144, 16284, -1806
 145, 16283, -1818
 146, 16281, -1831
 147, 16280, -1843
 148, 16279, -1856
 149, 16277, -1868
 150, 16276, -1881
 151, 16274, -1893
 152, 16273, -1906
 153, 16271, -1918
 154, 16270, -1931
 155, 16268, -1943
 156, 16267, -1956
 157, 16265, -1968
 158, 16264, -1981
 159, 16262, -1993
 160, 16261, -2006
 161, 16259, -2018
 162, 16258, -2031
 163, 16256, -2043
 164, 16255, -2055
 165, 16253, -2068
 166, 16251, -2080
 167, 16250, -2093
 168, 16248, -2105
 169, 16247, -2118
 170, 16245, -2130
 171, 16243, -2143
 172, 16242, -2155
 173, 16240, -2168
 174, 16238, -2180
 175, 16237, -2193
 176, 16235, -2205
 177, 16233, -2217
 178, 16232, -2230
 179, 16230, -2242
 180, 16228, -2255
 181, 16226, -2267
 182, 16225, -2280
 183, 16223, -2292
 184, 16221, -2305
 185, 16219, -2317
 186, 16218, -2329
 187, 16216, -2342
 188, 16214, -2354
 189, 16212, -2367
 190, 16210, -2379
 191, 16209, -2392
 192, 16207, -2404
 193, 16205, -2416
 194, 16203, -2429
 195, 16201, -2441
 196, 16199, -2454
 197, 16197, -2466
 198, 16195, -2479
 199, 16194, -2491
 200, 16192, -2503
 201, 16190, -2516
 202, 16188, -2528
 203, 16186, -2541
 204, 16184, -2553
 205, 16182, -2566
 206, 16180, -2578
 207, 16178, -2590
 208, 16176, -2603
 209, 16174, -2615
 210, 16172, -2628
 211, 16170, -2640
 212, 16168, -2652
 213, 16166, -2665
 214, 16164, -2677
 215, 16162, -2690
 216, 16160, -2702
 217, 16158, -2714
 218, 16156, -2727
 219, 16153, -2739
 220, 16151, -2752
 221, 16149, -2764
 222, 16147, -2776
